source,category,sub_name,resource_group,name,resource_id,monthly_gbp,annual_savings_gbp,owner,criticality,environment,cost_centre,application,confidence,rationale,extra
hidden-waste,Unattached managed disks,ContosoMigration.Prod,rg-asr-replicas,disk-asr-seed-uks-01,/subscriptions/00000000-0000-0000-0000-0000000000a1/resourceGroups/rg-asr-replicas/providers/Microsoft.Compute/disks/disk-asr-seed-uks-01,2752.00,33024.00,(untagged),unknown,prod,unknown,unknown,LOW,No tags resolved; £2752/mo orphan disk routed to platform-team backlog for tagging,P30 / 1024GB
hidden-waste,Old snapshots (>90d),ContosoApp.Prod,rg-snap-archive-2024,snap-bkp-2024-q4-chain,/subscriptions/00000000-0000-0000-0000-0000000000a2/resourceGroups/rg-snap-archive-2024/providers/Microsoft.Compute/snapshots/snap-bkp-2024-q4-chain,318.00,3816.00,bi-systems,medium,prod,cc-1042,reporting,HIGH,>90d snapshot in archive RG owned by bi-systems via CODEOWNERS,timeCreated 2024-12-04
hidden-waste,Old snapshots (>90d),ContosoApp.Prod,rg-snap-archive-2024,snap-bkp-2024-q3-chain,/subscriptions/00000000-0000-0000-0000-0000000000a2/resourceGroups/rg-snap-archive-2024/providers/Microsoft.Compute/snapshots/snap-bkp-2024-q3-chain,312.00,3744.00,bi-systems,medium,prod,cc-1042,reporting,HIGH,>90d snapshot in archive RG owned by bi-systems via CODEOWNERS,timeCreated 2024-09-04
hidden-waste,Empty App Service Plans,ContosoApp.Prod,rg-legacy-portal,asp-legacy-api-002,/subscriptions/00000000-0000-0000-0000-0000000000a2/resourceGroups/rg-legacy-portal/providers/Microsoft.Web/serverfarms/asp-legacy-api-002,172.00,2064.00,contoso-app-team,medium,prod,cc-1001,legacy-api,HIGH,Empty ASP P1v3 — no apps deployed for 60d; routed to contoso-app-team via CODEOWNERS,P1v3
hidden-waste,Empty App Service Plans,ContosoBatch.Prod,rg-legacy-portal,asp-legacy-portal-001,/subscriptions/00000000-0000-0000-0000-0000000000a3/resourceGroups/rg-legacy-portal/providers/Microsoft.Web/serverfarms/asp-legacy-portal-001,180.00,2160.00,contoso-app-team,medium,prod,cc-1001,legacy-portal,HIGH,Empty ASP P1v3 — no apps deployed for 60d,P1v3
hidden-waste,Unused public IPs,ContosoBatch.Prod,rg-network-uks,pip-fe-prod-uks-08,/subscriptions/00000000-0000-0000-0000-0000000000a3/resourceGroups/rg-network-uks/providers/Microsoft.Network/publicIPAddresses/pip-fe-prod-uks-08,3.00,36.00,platform-team,low,prod,cc-1010,network,LOW,Unused public IP — sub-£25/mo routed to platform-team backlog,Standard static
hidden-waste,Unattached managed disks,ContosoData.Prod,rg-archive-disks,disk-old-sql-data-04,/subscriptions/00000000-0000-0000-0000-0000000000a4/resourceGroups/rg-archive-disks/providers/Microsoft.Compute/disks/disk-old-sql-data-04,176.00,2112.00,data-platform,medium,prod,cc-1020,sql-archive,MEDIUM,Unattached P10 disk in archive RG — routed to data-platform for accept/defer,P10 / 128GB
hidden-waste,Idle Standard load balancers,ContosoData.Prod,rg-network-uks,lb-internal-idle-01,/subscriptions/00000000-0000-0000-0000-0000000000a4/resourceGroups/rg-network-uks/providers/Microsoft.Network/loadBalancers/lb-internal-idle-01,15.00,180.00,platform-team,low,prod,cc-1010,network,LOW,Idle Standard LB — sub-£25/mo,Standard SKU no rules
hidden-waste,Stopped-not-deallocated VMs,ContosoData.Prod,rg-archive-disks,vm-old-test-stopped-01,/subscriptions/00000000-0000-0000-0000-0000000000a4/resourceGroups/rg-archive-disks/providers/Microsoft.Compute/virtualMachines/vm-old-test-stopped-01,6.67,80.00,data-platform,low,test,cc-1020,sql-archive,LOW,Stopped-not-deallocated B2s — sub-£25/mo and dev-tagged,Standard_B2s
rightsizing-peak,DOWNSIZE_CANDIDATE,ContosoApp.Prod,rg-contosoapp-prod,vm-fe-prod-uks-02,/subscriptions/00000000-0000-0000-0000-000000000001/resourceGroups/rg-contosoapp-prod/providers/Microsoft.Compute/virtualMachines/vm-fe-prod-uks-02,141.00,1692.00,contoso-app-team,high,prod,cc-1001,contoso-app,HIGH,P95 CPU 28.5% and P95 Mem 38.4% — both well below thresholds; D4s_v5 -> D2s_v5 saves 50%,Standard_D4s_v5 -> Standard_D2s_v5
