category,sub_id,sub_name,resource_group,name,location,resource_id,sku,size_gb,age_days,extra,monthly_gbp,cost_source
unattached_disks,00000000-0000-0000-0000-0000000000a1,ContosoMigration.Prod,rg-asr-replicas,disk-asr-seed-uks-01,uksouth,/subscriptions/00000000-0000-0000-0000-0000000000a1/resourcegroups/rg-asr-replicas/providers/microsoft.compute/disks/disk-asr-seed-uks-01,Premium_LRS,1024,0,P30 / 1024GB,2752.00,cost_mgmt
storage_cold_tier,00000000-0000-0000-0000-0000000000a4,ContosoData.Prod,rg-archive-blob,stcontosoarchive01,uksouth,/subscriptions/00000000-0000-0000-0000-0000000000a4/resourcegroups/rg-archive-blob/providers/microsoft.storage/storageaccounts/stcontosoarchive01,Standard_LRS,640,210,~640 GiB stored; ~1200 tx / 30d,820.00,cost_mgmt
old_snapshots,00000000-0000-0000-0000-0000000000a2,ContosoApp.Prod,rg-snap-archive-2024,snap-bkp-2024-q4-chain,uksouth,/subscriptions/00000000-0000-0000-0000-0000000000a2/resourcegroups/rg-snap-archive-2024/providers/microsoft.compute/snapshots/snap-bkp-2024-q4-chain,Standard_LRS,512,394,timeCreated 2024-12-04,318.00,cost_mgmt
old_snapshots,00000000-0000-0000-0000-0000000000a2,ContosoApp.Prod,rg-snap-archive-2024,snap-bkp-2024-q3-chain,uksouth,/subscriptions/00000000-0000-0000-0000-0000000000a2/resourcegroups/rg-snap-archive-2024/providers/microsoft.compute/snapshots/snap-bkp-2024-q3-chain,Standard_LRS,512,485,timeCreated 2024-09-04,312.00,cost_mgmt
storage_oversize_premium,00000000-0000-0000-0000-0000000000a4,ContosoData.Prod,rg-files-prod-uks,stcontosofiles01/default/share-archive-old,uksouth,/subscriptions/00000000-0000-0000-0000-0000000000a4/resourcegroups/rg-files-prod-uks/providers/microsoft.storage/storageaccounts/stcontosofiles01/fileservices/default/shares/share-archive-old,Premium_LRS,2048,0,quota 2048 GiB; used ~250 GiB; recoverable ~1798 GiB,287.68,estimate
empty_asp,00000000-0000-0000-0000-0000000000a3,ContosoBatch.Prod,rg-legacy-portal,asp-legacy-portal-001,uksouth,/subscriptions/00000000-0000-0000-0000-0000000000a3/resourcegroups/rg-legacy-portal/providers/microsoft.web/serverfarms/asp-legacy-portal-001,P1v3,0,0,P1v3,180.00,cost_mgmt
idle_app_service_plan,00000000-0000-0000-0000-0000000000a3,ContosoBatch.Prod,rg-platform-uks,asp-platform-shared-01,uksouth,/subscriptions/00000000-0000-0000-0000-0000000000a3/resourcegroups/rg-platform-uks/providers/microsoft.web/serverfarms/asp-platform-shared-01,P1v3,0,0,P95 CPU 2.4% / 14d (coverage 99%) — downgrade P1v3 to a smaller SKU,178.00,cost_mgmt
unattached_disks,00000000-0000-0000-0000-0000000000a4,ContosoData.Prod,rg-archive-disks,disk-old-sql-data-04,uksouth,/subscriptions/00000000-0000-0000-0000-0000000000a4/resourcegroups/rg-archive-disks/providers/microsoft.compute/disks/disk-old-sql-data-04,Premium_LRS,128,0,P10 / 128GB,176.00,cost_mgmt
empty_asp,00000000-0000-0000-0000-0000000000a2,ContosoApp.Prod,rg-legacy-portal,asp-legacy-api-002,uksouth,/subscriptions/00000000-0000-0000-0000-0000000000a2/resourcegroups/rg-legacy-portal/providers/microsoft.web/serverfarms/asp-legacy-api-002,P1v3,0,0,P1v3,172.00,cost_mgmt
old_snapshots,00000000-0000-0000-0000-0000000000a3,ContosoBatch.Prod,rg-snap-archive-2024,snap-bkp-2024-q2-chain,uksouth,/subscriptions/00000000-0000-0000-0000-0000000000a3/resourcegroups/rg-snap-archive-2024/providers/microsoft.compute/snapshots/snap-bkp-2024-q2-chain,Standard_LRS,256,576,timeCreated 2024-06-04,168.00,cost_mgmt
idle_load_balancers,00000000-0000-0000-0000-0000000000a4,ContosoData.Prod,rg-network-uks,lb-internal-idle-01,uksouth,/subscriptions/00000000-0000-0000-0000-0000000000a4/resourcegroups/rg-network-uks/providers/microsoft.network/loadbalancers/lb-internal-idle-01,Standard,0,0,Standard SKU no rules,15.00,estimate
stopped_not_deallocated,00000000-0000-0000-0000-0000000000a4,ContosoData.Prod,rg-archive-disks,vm-old-test-stopped-01,uksouth,/subscriptions/00000000-0000-0000-0000-0000000000a4/resourcegroups/rg-archive-disks/providers/microsoft.compute/virtualmachines/vm-old-test-stopped-01,Standard_B2s,0,0,PowerState/stopped,6.67,cost_mgmt
unused_public_ips,00000000-0000-0000-0000-0000000000a3,ContosoBatch.Prod,rg-network-uks,pip-fe-prod-uks-08,uksouth,/subscriptions/00000000-0000-0000-0000-0000000000a3/resourcegroups/rg-network-uks/providers/microsoft.network/publicipaddresses/pip-fe-prod-uks-08,Standard,0,0,Standard static,3.00,estimate
storage_untouched_container,00000000-0000-0000-0000-0000000000a3,ContosoBatch.Prod,rg-data-uks,stcontosobatch02/default/legacy-imports,uksouth,/subscriptions/00000000-0000-0000-0000-0000000000a3/resourcegroups/rg-data-uks/providers/microsoft.storage/storageaccounts/stcontosobatch02/blobservices/default/containers/legacy-imports,,0,412,,0.00,unknown
idle_container_app,00000000-0000-0000-0000-0000000000a2,ContosoApp.Prod,rg-microservices-uks,ca-orders-worker,uksouth,/subscriptions/00000000-0000-0000-0000-0000000000a2/resourcegroups/rg-microservices-uks/providers/microsoft.app/containerapps/ca-orders-worker,,0,0,"0 requests / 14d, replicas held at ~2.0 (min-replicas=2) — set min-replicas: 0",0.00,unknown
orphan_nics,00000000-0000-0000-0000-0000000000a3,ContosoBatch.Prod,rg-network-uks,nic-orphan-batch-077,uksouth,/subscriptions/00000000-0000-0000-0000-0000000000a3/resourcegroups/rg-network-uks/providers/microsoft.network/networkinterfaces/nic-orphan-batch-077,,0,0,,0.00,unknown
